Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco
N,C,1,1,0,0,7,6,3.04,2.55,0.71,0.75,14.53,11.26,14.53,11.26,-0.07,1.26,1.55,1.7,5,4,1,0,6.5,2.8,0.73,12.9,12.9,0.6,1.63,4.5,0.49,5.59,-0.04,1.46,-0.15,3.25,3.27,25.79,-1.33,1.19,1,9,3.27,25.79,0.36,7.81,0.53,166.33,2.64,42.25,20.25,166.28,-0.04161
N,CH3,1,4,0,3,7,2.25,3.04,2.29,0.71,0.43,14.53,13.01,14.53,9.84,-0.07,0.88,1.55,1.33,5,7,2.5,1.5,4.63,2.66,0.57,13.77,12.19,0.41,1.44,6,0.75,5.33,0.28,1.14,0.23,2.88,1.52,27.55,-0.95,0.81,-2,12,4.69,24.37,0.16,7.1,0.32,189.72,2.07,21.39,36,148.47,0.15794
N,S,1,1,0,0,7,16,3.04,2.58,0.71,1.03,14.53,10.36,14.53,10.36,-0.07,2.08,1.55,1.8,5,6,1,0,11.5,2.81,0.87,12.45,12.45,1,1.68,5.5,0.46,5.62,-0.32,1.74,-0.25,3.35,4.17,24.89,-2.15,2.01,-1,11,4.17,24.89,1.01,7.9,0.76,154.93,2.81,132.25,30.25,154.88,0.09243
NH,NH2,2,3,1,2,4,3,2.62,2.48,0.52,0.45,14.07,13.91,12.8,10.78,0.34,0.48,1.38,1.32,6,7,2.5,1.5,3.5,2.55,0.49,13.99,11.79,0.41,1.35,6.5,0.14,5.1,0.07,0.97,0.06,2.69,0.16,27.98,-0.14,0.82,-1,13,2.02,23.58,0.17,6.5,0.24,195.66,1.81,12.25,42.25,139,0.19509
NH,CH,2,2,1,1,4,3.5,2.62,2.38,0.52,0.54,14.07,12.43,12.8,10.64,0.34,1.01,1.38,1.45,6,5,2,1,3.75,2.5,0.53,13.25,11.72,0.68,1.41,5.5,0.25,5,-0.02,1.06,-0.08,2.83,1.64,26.5,-0.67,1.35,1,11,2.16,23.44,0.46,6.24,0.28,175.5,2,14.06,30.25,137.36,0.00813
NH,CH3,2,4,1,3,4,2.25,2.62,2.29,0.52,0.43,14.07,13.01,12.8,9.84,0.34,0.88,1.38,1.33,6,7,3,2,3.13,2.45,0.48,13.54,11.32,0.61,1.35,6.5,0.33,4.91,0.09,0.95,0.05,2.7,1.05,27.08,-0.54,1.22,-1,13,2.96,22.64,0.37,6.02,0.23,183.32,1.82,9.77,42.25,128.14,0.13838
NH2,NH,3,2,2,1,3,4,2.48,2.62,0.45,0.52,13.91,14.07,10.78,12.8,0.48,0.34,1.32,1.38,7,6,2.5,1.5,3.5,2.55,0.49,13.99,11.79,0.41,1.35,6.5,-0.14,5.1,-0.07,0.97,-0.06,2.69,-0.16,27.98,0.14,0.82,1,13,-2.02,23.58,0.17,6.5,0.24,195.66,1.81,12.25,42.25,139,0.19509
NH2,C,3,1,2,0,3,6,2.48,2.55,0.45,0.75,13.91,11.26,10.78,11.26,0.48,1.26,1.32,1.7,7,4,2,1,4.5,2.52,0.6,12.59,11.02,0.87,1.51,5.5,-0.07,5.03,-0.3,1.2,-0.38,3.02,2.65,25.17,-0.78,1.74,3,11,-0.48,22.04,0.76,6.33,0.36,158.38,2.28,20.25,30.25,121.44,0.22439
NH2,S,3,1,2,0,3,16,2.48,2.58,0.45,1.03,13.91,10.36,10.78,10.36,0.48,2.08,1.32,1.8,7,6,2,1,9.5,2.53,0.74,12.14,10.57,1.28,1.56,6.5,-0.1,5.06,-0.58,1.48,-0.48,3.12,3.55,24.27,-1.6,2.56,1,13,0.42,21.14,1.63,6.4,0.55,147.26,2.43,90.25,42.25,111.72,0.18156
NH3,OH,4,2,3,1,2.5,4.5,2.41,2.82,0.42,0.48,13.83,13.61,10.07,13.02,0.55,1.11,1.29,1.36,8,7,3,2,3.5,2.62,0.45,13.72,11.55,0.83,1.32,7.5,-0.41,5.23,-0.06,0.9,-0.07,2.65,0.22,27.44,-0.56,1.66,1,15,-2.95,23.09,0.69,6.84,0.2,188.24,1.75,12.25,56.25,133.29,0.11222
NH3,C,4,1,3,0,2.5,6,2.41,2.55,0.42,0.75,13.83,11.26,10.07,11.26,0.55,1.26,1.29,1.7,8,4,2.5,1.5,4.25,2.48,0.59,12.55,10.67,0.91,1.49,6,-0.14,4.96,-0.33,1.17,-0.41,2.99,2.57,25.09,-0.71,1.81,4,12,-1.19,21.33,0.82,6.15,0.34,157.4,2.23,18.06,36,113.74,0.23421
C,C,1,1,0,0,6,6,2.55,2.55,0.75,0.75,11.26,11.26,11.26,11.26,1.26,1.26,1.7,1.7,4,4,1,0,6,2.55,0.75,11.26,11.26,1.26,1.7,4,0,5.1,0,1.5,0,3.4,0,22.52,0,2.52,0,8,0,22.52,1.59,6.5,0.56,126.79,2.89,36,16,126.79,-0.15508801
C,OH,1,2,0,1,6,4.5,2.55,2.82,0.75,0.48,11.26,13.61,11.26,13.02,1.26,1.11,1.7,1.36,4,7,1.5,0.5,5.25,2.69,0.62,12.43,12.14,1.18,1.53,5.5,-0.27,5.37,0.27,1.23,0.34,3.06,-2.35,24.87,0.15,2.37,-3,11,-1.76,24.28,1.4,7.21,0.38,154.6,2.34,27.56,30.25,147.38,0.16197
C,N,1,1,0,0,6,7,2.55,3.04,0.75,0.71,11.26,14.53,11.26,14.53,1.26,-0.07,1.7,1.55,4,5,1,0,6.5,2.8,0.73,12.9,12.9,0.6,1.63,4.5,-0.49,5.59,0.04,1.46,0.15,3.25,-3.27,25.79,1.33,1.19,-1,9,-3.27,25.79,0.36,7.81,0.53,166.33,2.64,42.25,20.25,166.28,-0.04161
C,NH2,1,3,0,2,6,3,2.55,2.48,0.75,0.45,11.26,13.91,11.26,10.78,1.26,0.48,1.7,1.32,4,7,2,1,4.5,2.52,0.6,12.59,11.02,0.87,1.51,5.5,0.07,5.03,0.3,1.2,0.38,3.02,-2.65,25.17,0.78,1.74,-3,11,0.48,22.04,0.76,6.33,0.36,158.38,2.28,20.25,30.25,121.44,0.22439
C,NH3,1,4,0,3,6,2.5,2.55,2.41,0.75,0.42,11.26,13.83,11.26,10.07,1.26,0.55,1.7,1.29,4,8,2.5,1.5,4.25,2.48,0.59,12.55,10.67,0.91,1.49,6,0.14,4.96,0.33,1.17,0.41,2.99,-2.57,25.09,0.71,1.81,-4,12,1.19,21.33,0.82,6.15,0.34,157.4,2.23,18.06,36,113.74,0.23421
CH,OH,2,2,1,1,3.5,4.5,2.38,2.82,0.54,0.48,12.43,13.61,10.64,13.02,1.01,1.11,1.45,1.36,5,7,2,1,4,2.6,0.51,13.02,11.83,1.06,1.41,6,-0.45,5.2,0.06,1.02,0.09,2.81,-1.18,26.04,-0.1,2.11,-2,12,-2.38,23.66,1.12,6.75,0.26,169.48,1.97,16,36,139.95,0.04689
CH,NH,2,2,1,1,3.5,4,2.38,2.62,0.54,0.52,12.43,14.07,10.64,12.8,1.01,0.34,1.45,1.38,5,6,2,1,3.75,2.5,0.53,13.25,11.72,0.67,1.41,5.5,-0.25,5,0.02,1.06,0.08,2.83,-1.64,26.5,0.67,1.35,-1,11,-2.16,23.44,0.45,6.24,0.28,175.5,2,14.06,30.25,137.36,0.00813
CH,SH,2,2,1,1,3.5,8.5,2.38,2.39,0.54,0.68,12.43,11.98,10.64,10.42,1.01,1.42,1.45,1.5,5,7,2,1,6,2.38,0.61,12.2,10.53,1.21,1.48,6,-0.02,4.77,-0.14,1.22,-0.05,2.95,0.45,24.41,-0.41,2.42,-2,12,0.22,21.06,1.47,5.68,0.37,148.94,2.18,36,36,110.88,0.04467
CH,F,2,1,1,0,3.5,9,2.38,3.98,0.54,0.64,12.43,17.42,10.64,17.42,1.01,3.4,1.45,1.47,5,7,1.5,0.5,6.25,3.18,0.59,14.93,14.03,2.2,1.46,6,-1.61,6.36,-0.1,1.18,-0.02,2.92,-4.99,29.85,-2.39,4.41,-2,12,-6.78,28.06,4.86,10.1,0.35,222.77,2.13,39.06,36,196.84,0.02152
CH,Cl,2,1,1,0,3.5,17,2.38,3.16,0.54,0.99,12.43,12.97,10.64,12.97,1.01,3.61,1.45,1.75,5,7,1.5,0.5,10.25,2.77,0.77,12.7,11.81,2.31,1.6,6,-0.79,5.54,-0.45,1.53,-0.3,3.2,-0.54,25.4,-2.61,4.62,-2,12,-2.33,23.61,5.33,7.66,0.59,161.24,2.56,105.06,36,139.36,0.10368
CH,Br,2,1,1,0,3.5,35,2.38,2.96,0.54,1.14,12.43,11.81,10.64,11.81,1.01,3.36,1.45,1.85,5,7,1.5,0.5,19.25,2.67,0.84,12.12,11.23,2.19,1.65,6,-0.59,5.34,-0.6,1.68,-0.4,3.3,0.62,24.24,-2.36,4.37,-2,12,-1.17,22.45,4.77,7.12,0.71,146.93,2.72,370.56,36,126,0.1083
CH2,SH,3,2,2,1,2.67,8.5,2.32,2.39,0.46,0.68,12.82,11.98,10.4,10.42,0.92,1.42,1.37,1.5,6,7,2.5,1.5,5.58,2.35,0.57,12.4,10.41,1.17,1.43,6.5,-0.07,4.71,-0.22,1.14,-0.13,2.87,0.84,24.8,-0.49,2.34,-1,13,-0.02,20.82,1.37,5.54,0.32,153.73,2.05,31.17,42.25,108.37,0.13804
CH2,SH2,3,3,2,2,2.67,6,2.32,2.33,0.46,0.56,12.82,12.52,10.4,10.46,0.92,1.2,1.37,1.4,6,8,3,2,4.33,2.32,0.51,12.67,10.43,1.06,1.38,7,-0.01,4.64,-0.1,1.02,-0.03,2.77,0.3,25.34,-0.27,2.12,-2,14,-0.06,20.86,1.12,5.39,0.26,160.5,1.91,18.78,49,108.78,0.18746
CH2,Br,3,1,2,0,2.67,35,2.32,2.96,0.46,1.14,12.82,11.81,10.4,11.81,0.92,3.36,1.37,1.85,6,7,2,1,18.83,2.64,0.8,12.32,11.11,2.14,1.61,6.5,-0.64,5.28,-0.68,1.6,-0.48,3.22,1,24.63,-2.44,4.29,-1,13,-1.41,22.21,4.59,6.96,0.64,151.69,2.59,354.69,42.25,123.32,0.16344
CH3,N,4,1,3,0,2.25,7,2.29,3.04,0.43,0.71,13.01,14.53,9.84,14.53,0.88,-0.07,1.33,1.55,7,5,2.5,1.5,4.63,2.66,0.57,13.77,12.19,0.41,1.44,6,-0.75,5.33,-0.28,1.14,-0.23,2.88,-1.52,27.55,0.95,0.81,2,12,-4.69,24.37,0.16,7.1,0.32,189.72,2.07,21.39,36,148.47,0.15794
CH3,NH,4,2,3,1,2.25,4,2.29,2.62,0.43,0.52,13.01,14.07,9.84,12.8,0.88,0.34,1.33,1.38,7,6,3,2,3.13,2.45,0.48,13.54,11.32,0.61,1.35,6.5,-0.33,4.91,-0.09,0.95,-0.05,2.7,-1.05,27.08,0.54,1.22,1,13,-2.96,22.64,0.37,6.02,0.23,183.32,1.82,9.77,42.25,128.14,0.13838
CH3,S,4,1,3,0,2.25,16,2.29,2.58,0.43,1.03,13.01,10.36,9.84,10.36,0.88,2.08,1.33,1.8,7,6,2.5,1.5,9.13,2.43,0.73,11.69,10.1,1.48,1.56,6.5,-0.29,4.87,-0.6,1.46,-0.48,3.13,2.65,23.37,-1.2,2.96,1,13,-0.52,20.2,2.19,5.92,0.53,136.58,2.44,83.27,42.25,102.01,0.21971
CH3,F,4,1,3,0,2.25,9,2.29,3.98,0.43,0.64,13.01,17.42,9.84,17.42,0.88,3.4,1.33,1.47,7,7,2.5,1.5,5.63,3.13,0.54,15.22,13.63,2.14,1.4,7,-1.69,6.27,-0.21,1.07,-0.15,2.8,-4.41,30.44,-2.52,4.28,0,14,-7.58,27.26,4.58,9.82,0.29,231.58,1.95,31.64,49,185.78,0.24301
S,N,1,1,0,0,16,7,2.58,3.04,1.03,0.71,10.36,14.53,10.36,14.53,2.08,-0.07,1.8,1.55,6,5,1,0,11.5,2.81,0.87,12.45,12.45,1,1.68,5.5,-0.46,5.62,0.32,1.74,0.25,3.35,-4.17,24.89,2.15,2.01,1,11,-4.17,24.89,1.01,7.9,0.76,154.93,2.81,132.25,30.25,154.88,0.09243
S,NH2,1,3,0,2,16,3,2.58,2.48,1.03,0.45,10.36,13.91,10.36,10.78,2.08,0.48,1.8,1.32,6,7,2,1,9.5,2.53,0.74,12.14,10.57,1.28,1.56,6.5,0.1,5.06,0.58,1.48,0.48,3.12,-3.55,24.27,1.6,2.56,-1,13,-0.42,21.14,1.63,6.4,0.55,147.26,2.43,90.25,42.25,111.72,0.18156
S,CH3,1,4,0,3,16,2.25,2.58,2.29,1.03,0.43,10.36,13.01,10.36,9.84,2.08,0.88,1.8,1.33,6,7,2.5,1.5,9.13,2.43,0.73,11.69,10.1,1.48,1.56,6.5,0.29,4.87,0.6,1.46,0.48,3.13,-2.65,23.37,1.2,2.96,-1,13,0.52,20.2,2.19,5.92,0.53,136.58,2.44,83.27,42.25,102.01,0.21971
S,SH,1,2,0,1,16,8.5,2.58,2.39,1.03,0.68,10.36,11.98,10.36,10.42,2.08,1.42,1.8,1.5,6,7,1.5,0.5,12.25,2.49,0.86,11.17,10.39,1.75,1.65,6.5,0.19,4.97,0.35,1.71,0.3,3.3,-1.62,22.34,0.66,3.49,-1,13,-0.06,20.78,3.05,6.18,0.73,124.76,2.72,150.06,42.25,107.95,0.15702
SH,CH,2,2,1,1,8.5,3.5,2.39,2.38,0.68,0.54,11.98,12.43,10.42,10.64,1.42,1.01,1.5,1.45,7,5,2,1,6,2.38,0.61,12.2,10.53,1.21,1.48,6,0.02,4.77,0.14,1.22,0.05,2.95,-0.45,24.41,0.41,2.43,2,12,-0.22,21.06,1.47,5.68,0.37,148.94,2.18,36,36,110.88,0.04467
SH,CH2,2,3,1,2,8.5,2.67,2.39,2.32,0.68,0.46,11.98,12.82,10.42,10.4,1.42,0.92,1.5,1.37,7,6,2.5,1.5,5.58,2.35,0.57,12.4,10.41,1.17,1.43,6.5,0.07,4.71,0.22,1.14,0.13,2.87,-0.84,24.8,0.49,2.34,1,13,0.02,20.82,1.37,5.54,0.32,153.73,2.05,31.17,42.25,108.37,0.13804
SH,S,2,1,1,0,8.5,16,2.39,2.58,0.68,1.03,11.98,10.36,10.42,10.36,1.42,2.08,1.5,1.8,7,6,1.5,0.5,12.25,2.49,0.86,11.17,10.39,1.75,1.65,6.5,-0.19,4.97,-0.35,1.71,-0.3,3.3,1.62,22.34,-0.66,3.49,1,13,0.06,20.78,3.05,6.18,0.73,124.76,2.72,150.06,42.25,107.95,0.15702
SH,SH2,2,3,1,2,8.5,6,2.39,2.33,0.68,0.56,11.98,12.52,10.42,10.46,1.42,1.2,1.5,1.4,7,8,2.5,1.5,7.25,2.36,0.62,12.25,10.44,1.31,1.45,7.5,0.06,4.72,0.12,1.24,0.1,2.9,-0.54,24.5,0.22,2.61,-1,15,-0.04,20.88,1.71,5.56,0.38,150.03,2.1,52.56,56.25,108.99,0.16409
SH,F,2,1,1,0,8.5,9,2.39,3.98,0.68,0.64,11.98,17.42,10.42,17.42,1.42,3.4,1.5,1.47,7,7,1.5,0.5,8.75,3.19,0.66,14.7,13.92,2.41,1.49,7,-1.59,6.37,0.04,1.32,0.03,2.97,-5.44,29.4,-1.98,4.82,0,14,-7,27.84,5.8,10.14,0.44,216.1,2.21,76.56,49,193.77,0.21162
SH,Br,2,1,1,0,8.5,35,2.39,2.96,0.68,1.14,11.98,11.81,10.42,11.81,1.42,3.36,1.5,1.85,7,7,1.5,0.5,21.75,2.68,0.91,11.9,11.12,2.39,1.68,7,-0.57,5.35,-0.46,1.82,-0.35,3.35,0.16,23.79,-1.95,4.78,0,14,-1.39,22.23,5.71,7.16,0.83,141.53,2.81,473.06,49,123.54,0.27333
SH2,OH,3,2,2,1,6,4.5,2.33,2.82,0.56,0.48,12.52,13.61,10.46,13.02,1.2,1.11,1.4,1.36,8,7,2.5,1.5,5.25,2.57,0.52,13.06,11.74,1.15,1.38,7.5,-0.49,5.15,0.08,1.04,0.04,2.76,-1.09,26.13,0.09,2.3,1,15,-2.56,23.48,1.33,6.62,0.27,170.65,1.9,27.56,56.25,137.83,0.35318
SH2,CH2,3,3,2,2,6,2.67,2.33,2.32,0.56,0.46,12.52,12.82,10.46,10.4,1.2,0.92,1.4,1.37,8,6,3,2,4.33,2.32,0.51,12.67,10.43,1.06,1.38,7,0.01,4.64,0.1,1.02,0.03,2.77,-0.3,25.34,0.27,2.12,2,14,0.06,20.86,1.12,5.39,0.26,160.5,1.91,18.78,49,108.78,0.18746
SH2,SH,3,2,2,1,6,8.5,2.33,2.39,0.56,0.68,12.52,11.98,10.46,10.42,1.2,1.42,1.4,1.5,8,7,2.5,1.5,7.25,2.36,0.62,12.25,10.44,1.31,1.45,7.5,-0.06,4.72,-0.12,1.24,-0.1,2.9,0.54,24.5,-0.22,2.61,1,15,0.04,20.88,1.7,5.56,0.38,150.03,2.1,52.56,56.25,108.99,0.16409
SH2,F,3,1,2,0,6,9,2.33,3.98,0.56,0.64,12.52,17.42,10.46,17.42,1.2,3.4,1.4,1.47,8,7,2,1,7.5,3.15,0.6,14.97,13.94,2.3,1.44,7.5,-1.65,6.31,-0.08,1.2,-0.07,2.87,-4.9,29.94,-2.21,4.6,1,15,-6.96,27.88,5.28,9.94,0.36,224.11,2.06,56.25,56.25,194.32,0.24343
F,OH,1,2,0,1,9,4.5,3.98,2.82,0.64,0.48,17.42,13.61,17.42,13.02,3.4,1.11,1.47,1.36,7,7,1.5,0.5,6.75,3.4,0.56,15.52,15.22,2.25,1.42,7,1.16,6.8,0.16,1.12,0.11,2.83,3.81,31.03,2.29,4.51,0,14,4.4,30.44,5.08,11.56,0.31,240.72,2,45.56,49,231.65,0.26767
F,CH,1,2,0,1,9,3.5,3.98,2.38,0.64,0.54,17.42,12.43,17.42,10.64,3.4,1.01,1.47,1.45,7,5,1.5,0.5,6.25,3.18,0.59,14.93,14.03,2.2,1.46,6,1.61,6.36,0.1,1.18,0.02,2.92,4.99,29.85,2.39,4.41,2,12,6.78,28.06,4.86,10.1,0.35,222.77,2.13,39.06,36,196.84,0.02152
F,CH3,1,4,0,3,9,2.25,3.98,2.29,0.64,0.43,17.42,13.01,17.42,9.84,3.4,0.88,1.47,1.33,7,7,2.5,1.5,5.63,3.13,0.54,15.22,13.63,2.14,1.4,7,1.69,6.27,0.21,1.07,0.15,2.8,4.41,30.44,2.52,4.28,0,14,7.58,27.26,4.58,9.82,0.29,231.58,1.95,31.64,49,185.78,0.24301
F,SH,1,2,0,1,9,8.5,3.98,2.39,0.64,0.68,17.42,11.98,17.42,10.42,3.4,1.42,1.47,1.5,7,7,1.5,0.5,8.75,3.19,0.66,14.7,13.92,2.41,1.49,7,1.59,6.37,-0.04,1.32,-0.03,2.97,5.44,29.4,1.99,4.82,0,14,7,27.84,5.8,10.14,0.44,216.1,2.21,76.56,49,193.77,0.21162
F,SH2,1,3,0,2,9,6,3.98,2.33,0.64,0.56,17.42,12.52,17.42,10.46,3.4,1.2,1.47,1.4,7,8,2,1,7.5,3.15,0.6,14.97,13.94,2.3,1.44,7.5,1.65,6.31,0.08,1.2,0.07,2.87,4.9,29.94,2.21,4.6,-1,15,6.96,27.88,5.28,9.94,0.36,224.11,2.06,56.25,56.25,194.32,0.24343
Cl,O,1,1,0,0,17,8,3.16,3.44,0.99,0.63,12.97,13.62,12.97,13.62,3.61,1.46,1.75,1.52,7,6,1,0,12.5,3.3,0.81,13.29,13.3,2.54,1.64,6.5,-0.28,6.6,0.36,1.62,0.23,3.27,-0.65,26.59,2.15,5.07,1,13,-0.65,26.59,6.43,10.89,0.66,176.69,2.67,156.25,42.25,176.76,0.22257
Cl,CH,1,2,0,1,17,3.5,3.16,2.38,0.99,0.54,12.97,12.43,12.97,10.64,3.61,1.01,1.75,1.45,7,5,1.5,0.5,10.25,2.77,0.77,12.7,11.81,2.31,1.6,6,0.79,5.54,0.45,1.53,0.3,3.2,0.54,25.4,2.6,4.62,2,12,2.33,23.61,5.34,7.66,0.59,161.24,2.56,105.06,36,139.36,0.10368
Cl,Br,1,1,0,0,17,35,3.16,2.96,0.99,1.14,12.97,11.81,12.97,11.81,3.61,3.36,1.75,1.85,7,7,1,0,26,3.06,1.07,12.39,12.39,3.49,1.8,7,0.2,6.12,-0.15,2.13,-0.1,3.6,1.15,24.78,0.25,6.98,0,14,1.16,24.78,12.16,9.36,1.13,153.52,3.24,676,49,153.51,0.31091
Br,CH,1,2,0,1,35,3.5,2.96,2.38,1.14,0.54,11.81,12.43,11.81,10.64,3.36,1.01,1.85,1.45,7,5,1.5,0.5,19.25,2.67,0.84,12.12,11.23,2.19,1.65,6,0.59,5.34,0.6,1.68,0.4,3.3,-0.62,24.24,2.36,4.37,2,12,1.17,22.45,4.78,7.12,0.71,146.93,2.72,370.56,36,126,0.1083
Br,CH2,1,3,0,2,35,2.67,2.96,2.32,1.14,0.46,11.81,12.82,11.81,10.4,3.36,0.92,1.85,1.37,7,6,2,1,18.83,2.64,0.8,12.32,11.11,2.14,1.61,6.5,0.64,5.28,0.68,1.6,0.48,3.22,-1,24.63,2.44,4.29,1,13,1.41,22.21,4.59,6.96,0.64,151.69,2.59,354.69,42.25,123.32,0.16344
Br,SH,1,2,0,1,35,8.5,2.96,2.39,1.14,0.68,11.81,11.98,11.81,10.42,3.36,1.42,1.85,1.5,7,7,1.5,0.5,21.75,2.68,0.91,11.9,11.12,2.39,1.68,7,0.57,5.35,0.46,1.82,0.35,3.35,-0.16,23.79,1.95,4.78,0,14,1.39,22.23,5.71,7.16,0.83,141.53,2.81,473.06,49,123.54,0.27333
